DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1990,101.33,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1991,74.67,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1992,53.77,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1993,49.40,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1994,49.35,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1995,49.91,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1996,53.95,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1997,43.47,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1998,48.48,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,1999,79.71,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2000,80.57,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2001,82.62,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2002,94.61,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2003,92.58,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2004,103.77,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2005,100.00,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2006,91.09,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2007,88.99,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AL,2008,92.95,
